Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
1,一つ,ひとつ,one (thing),それを<b>一つ</b>ください。,それ を <b>ひとつ</b> ください,Please give me one of those.,一[ひと]つ,それを<b> 一[ひと]つ</b>ください。,それを<b>（　）</b>ください。
2,二つ,ふたつ,two (things),ソフトクリームを<b>二つ</b>ください。,そふとくりーむ を <b>ふたつ</b> ください,Please give me two ice cream cones.,二[ふた]つ,ソフトクリームを<b> 二[ふた]つ</b>ください。,ソフトクリームを<b>（　）</b>ください。
3,円,えん,yen,カレーライスは700<b>円</b>です。,かれーらいす は ななひゃく<b>えん</b> です,The curry and rice is 700 yen.,円[えん],カレーライスは 700[ななひゃく]<b> 円[えん]</b>です。,カレーライスは 700[ななひゃく]<b>（　）</b>です。
4,金,かね,money,これはかなり<b>金</b>がかかった。,これ は かなり <b>かね</b> が かかった,This cost quite a bit of money.,金[かね],これはかなり<b> 金[かね]</b>がかかった。,これはかなり<b>（　）</b>がかかった。
5,これ,これ,"this, this one",<b>これ</b>をください。,<b>これ</b>をください。,I'll have this please.,これ,<b>これ</b>をください。,<b>（　）</b>をください。
6,水曜日,すいようび,Wednesday,<b>水曜日</b>はバイトがあります。,<b>すいようび</b> は ばいと が あります,I have a part-time job on Wednesdays.,水曜日[すいようび],<b> 水曜日[すいようび]</b>はバイトがあります。,<b>（　）</b>はバイトがあります。
7,あれ,あれ,that over there,<b>あれ</b>は何ですか。,<b>あれ</b> は なん です か,What's that?,あれ,<b>あれ</b>は 何[なん]ですか。,<b>（　）</b>は 何[なん]ですか。
8,先,さき,"ahead, first",お<b>先</b>にどうぞ。,お<b>さき</b>に どうぞ,Please go ahead.,先[さき],お<b> 先[さき]</b>にどうぞ。,お<b>（　）</b>にどうぞ。
9,八日,ようか,"eight days, 8th of the month",<b>八日</b>からイギリスに行きます。,<b>ようか</b> から いぎりす に いきます,I go to England on the eighth.,八日[ようか],<b> 八日[ようか]</b>からイギリスに 行[い]きます。,<b>（　）</b>からイギリスに 行[い]きます。
10,そば,そば,"side, vicinity",<b>そば</b>にいて下さい。,<b>そば</b> に いて ください,Stay with me.,そば,<b>そば</b>にいて 下[くだ]さい。,<b>（　）</b>にいて 下[くだ]さい。
11,こっち,こっち,here,<b>こっち</b>に来て下さい。,<b>こっち</b> に きて ください,Please come here.,こっち,<b>こっち</b>に 来[き]て 下[くだ]さい。,<b>（　）</b>に 来[き]て 下[くだ]さい。
12,右,みぎ,right,<b>右</b>のポケットにハンカチが入っています。,<b>みぎ</b> の ぽけっと に はんかち が はいって います,There's a handkerchief in my right pocket.,右[みぎ],<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。,<b>（　）</b>のポケットにハンカチが 入[はい]っています。
13,あげる,あげる,give,この本、あなたに<b>あげます</b>。,この ほん あなた に <b>あげます</b>,I'll give you this book.,あげる,この 本[ほん]、あなたに<b>あげます</b>。,この 本[ほん]、あなたに<b>（　）</b>。
14,ここ,ここ,here,<b>ここ</b>に本があります。,<b>ここ</b> に ほん が あります,There's a book here.,ここ,<b>ここ</b>に 本[ほん]があります。,<b>（　）</b>に 本[ほん]があります。
15,とても,とても,very,この本は<b>とても</b>おもしろい。,この ほん は <b>とても</b> おもしろい,This book is very interesting.,とても,この 本[ほん]は<b>とても</b>おもしろい。,この 本[ほん]は<b>（　）</b>おもしろい。
16,七,なな,seven,バナナが<b>七</b>本あります。,ばなな が <b>なな</b>ほん あります,There are seven bananas.,七[なな],バナナが<b> 七[なな]</b> 本[ほん]あります。,バナナが<b>（　）</b> 本[ほん]あります。
17,手,て,hand,分かった人は<b>手</b>を上げてください。,わかった ひと は <b>て</b> を あげて ください,Please raise your hand if you understand.,手[て],分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。,分[わ]かった 人[ひと]は<b>（　）</b>を 上[あ]げてください。
18,おなか,おなか,stomach,<b>おなか</b>が空きました。,<b>おなか</b> が すきました,I'm hungry.,おなか,<b>おなか</b>が 空[す]きました。,<b>（　）</b>が 空[す]きました。
19,空く,すく,be empty,レストランは<b>空いていました</b>。,れすとらん は <b>すいて いました</b>,The restaurant was empty.,空[す]く,レストランは<b> 空[す]いていました</b>。,レストランは<b>（　）</b>。
20,一日,ついたち,1st of the month,来月の<b>一日</b>は空いていますか。,らいげつ の <b>ついたち</b> は あいています か,Are you free on the 1st of next month?,一日[ついたち],来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。,来月[らいげつ]の<b>（　）</b>は 空[あ]いていますか。
21,日曜日,にちようび,Sunday,<b>日曜日</b>は海に行きました。,<b>にちようび</b> は うみ に いきました,We went to the seaside on Sunday.,日曜日[にちようび],<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。,<b>（　）</b>は 海[うみ]に 行[い]きました。
22,七つ,ななつ,seven (things),この子は今年<b>七つ</b>になります。,この こ は ことし <b>ななつ</b> に なります,Our kid's turning seven this year.,七[なな]つ,この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。,この 子[こ]は 今年[ことし]<b>（　）</b>になります。
23,どれ,どれ,"what, which",この中で<b>どれ</b>が好きですか。,この なか で <b>どれ</b> が すき です か,Which of these do you like?,どれ,この 中[なか]で<b>どれ</b>が 好[す]きですか。,この 中[なか]で<b>（　）</b>が 好[す]きですか。
24,私,わたし,I,<b>私</b>が行きましょう。,<b>わたし</b> が いきましょう,Why don't I go.,私[わたし],<b> 私[わたし]</b>が 行[い]きましょう。,<b>（　）</b>が 行[い]きましょう。
25,好き,すき,"favorite, liked",私はワインが<b>好き</b>です。,わたし は わいん が <b>すき</b> です,I like wine.,好[す]き,私[わたし]はワインが<b> 好[す]き</b>です。,私[わたし]はワインが<b>（　）</b>です。
26,ゲーム,ゲーム,game,私たちはビデオ<b>ゲーム</b>をした。,わたしたち は びでお<b>げーむ</b> を した,We played a video game.,ゲーム,私[わたし]たちはビデオ<b>ゲーム</b>をした。,私[わたし]たちはビデオ<b>（　）</b>をした。
27,一人,ひとり,"one, one person",そこには私<b>一人</b>しかいなかった。,そこ に は わたし <b>ひとり</b> しか いなかった,I was the only one there.,一人[ひとり],そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。,そこには 私[わたし]<b>（　）</b>しかいなかった。
28,友達,ともだち,"friend, companion",私には<b>友達</b>がたくさんいます。,わたし に は <b>ともだち</b> が たくさん います,I have a lot of friends.,友達[ともだち],私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。,私[わたし]には<b>（　）</b>がたくさんいます。
